volt    param        param
         1/lx8(mp)     -i(mp)
1.28900     4.251e+05    4.041e-06
1.28800     4.178e+05    4.121e-06
1.28700     4.107e+05    4.203e-06
1.28600     4.037e+05    4.286e-06
1.28500     3.968e+05    4.371e-06
1.28400     3.901e+05    4.457e-06
1.28300     3.836e+05    4.545e-06
1.28200     3.771e+05    4.634e-06
1.28100     3.709e+05    4.725e-06
1.28000     3.647e+05    4.817e-06
1.27900     3.587e+05    4.910e-06
1.27800     3.528e+05    5.005e-06
1.27700     3.471e+05    5.102e-06
1.27600     3.414e+05    5.200e-06
1.27500     3.359e+05    5.300e-06
1.27400     3.305e+05    5.401e-06
1.27300     3.252e+05    5.504e-06
